Address,maps to,final,score,version,,,
/,/,yes,0.9876,1,,,
/downloads/SliderPro/slider-pro.min.css,/downloads/SliderPro/slider-pro.min.css,yes,0.9876,1,,,
/category/butchering-supplies,/category/butchering-supplies,yes,0.9876,1,,,
/category/food,/category/food,yes,0.9876,1,,,
/category/animal-care,/category/animal-care,yes,0.9876,1,,,
/category/fallevening,/category/fallevening,yes,0.9876,1,,,
/category/lamp-burners,/category/lamp-burners,yes,0.9876,1,,,
/product/electric-meat-grinder-and-sausage-stuffer/butchering-supplies,/product/electric-meat-grinder-and-sausage-stuffer/butchering-supplies,yes,0.9876,1,,,
/product/12-12-qt-seamless-stainless-steel-pail/animal-care,/product/12-12-qt-seamless-stainless-steel-pail/animal-care,yes,0.9876,1,,,
/product/feeding-trough-for-chickens/animal-care,/product/feeding-trough-for-chickens/animal-care,yes,0.9876,1,,,
/privacy,/privacy,yes,0.9876,1,,,
/category/specialty-equipment,/category/specialty-equipment,yes,0.9876,1,,,
/product/cotton-butchers-twine/butchering-supplies,/product/cotton-butchers-twine/butchering-supplies,yes,0.9876,1,,,
/product/lehmans-own-old-fashioned-froe,/product/lehmans-own-old-fashioned-froe,yes,0.9876,1,,,
/category/pet-supplies,/category/pet-supplies,yes,0.9876,1,,,
/category/cookware,/category/cookware,yes,0.9876,1,,,
/product/burner-for-lamp-maitresse-oil-lamp/lamp-burners,/product/burner-for-lamp-maitresse-oil-lamp/lamp-burners,yes,0.9876,1,,,
/category/digging-cultivating,/category/digging-cultivating,yes,0.9876,1,,,
/product/doggie-deodorant/pet-supplies,/product/doggie-deodorant/pet-supplies,yes,0.9876,1,,,
/product/single-hamburger-press/butchering-supplies,/product/single-hamburger-press/butchering-supplies,yes,0.9876,1,,,
/category/pet-supplies/2,/category/pet-supplies/2,yes,0.9876,1,,,
/category/lamp-burners/4,/category/lamp-burners/4,yes,0.9876,1,,,
/category/lawncare,/category/lawncare,yes,0.9876,1,,,
/aboutus,/aboutus,yes,0.9876,1,,,
/category/lamp-burners/2,/category/lamp-burners/2,yes,0.9876,1,,,
/product/aladdin-maxbrite-burner/lamp-burners,/product/aladdin-maxbrite-burner/lamp-burners,yes,0.9876,1,,,
/category/pet-supplies/1,/category/pet-supplies/1,yes,0.9876,1,,,
/product/23-scythe-blade/lawncare,/product/23-scythe-blade/lawncare,yes,0.9876,1,,,
/category/lamp-burners/1,/category/lamp-burners/1,yes,0.9876,1,,,
/product/aladdin-kerosene-model-23-oil-lamp-burners/lamp-burners,/product/aladdin-kerosene-model-23-oil-lamp-burners/lamp-burners,yes,0.9876,1,,,
/category/lamp-burners/3,/category/lamp-burners/3,yes,0.9876,1,,,
/category/canning,/category/canning,yes,0.9876,1,,,
/product/dietz-oil-lantern-burners-monarch-burners/lamp-burners,/product/dietz-oil-lantern-burners-monarch-burners/lamp-burners,yes,0.9876,1,,,
/category/food-beverages,/category/food-beverages,yes,0.9876,1,,,
/product/victorio-steam-canner/canning,/product/victorio-steam-canner/canning,yes,0.9876,1,,,
/product/hori-hori-gardening-knife/digging-cultivating,/product/hori-hori-gardening-knife/digging-cultivating,yes,0.9876,1,,,
/category/kitchen-gadgets,/category/kitchen-gadgets,yes,0.9876,1,,,
/category/soda-making,/category/soda-making,yes,0.9876,1,,,
/product/cured-ham-bone-for-dogs/pet-supplies,/product/cured-ham-bone-for-dogs/pet-supplies,yes,0.9876,1,,,
/product/dietz-oil-lantern-burners-lil-wizard-burners/lamp-burners,/product/dietz-oil-lantern-burners-lil-wizard-burners/lamp-burners,yes,0.9876,1,,,
/product/brass-nutmeg-collar-for-oil-lamps/lamp-burners,/product/brass-nutmeg-collar-for-oil-lamps/lamp-burners,yes,0.9876,1,,,
/category/children-books,/category/children-books,yes,0.9876,1,,,
/product/double-lever-bottle-capper/soda-making,/product/double-lever-bottle-capper/soda-making,yes,0.9876,1,,,
/category/children-books/a,/category/children-books/a,yes,0.9876,1,,,
/category/digging-cultivating/4,/category/digging-cultivating/4,yes,0.9876,1,,,
/category/preserving-books,/category/preserving-books,yes,0.9876,1,,,
/product/water-glass-liquid-sodium-silicate/animal-care,/product/water-glass-liquid-sodium-silicate/animal-care,yes,0.9876,1,,,
/category/digging-cultivating/2,/category/digging-cultivating/2,yes,0.9876,1,,,
/category/digging-cultivating/3,/category/digging-cultivating/3,yes,0.9876,1,,,
/category/preserving-books/2,/category/preserving-books/2,yes,0.9876,1,,,
/category/preserving-books/3,/category/preserving-books/3,yes,0.9876,1,,,
/product/putting-food-by-book-5th-edition/preserving-books,/product/putting-food-by-book-5th-edition/preserving-books,yes,0.9876,1,,,
/category/children-books/2,/category/children-books/2,yes,0.9876,1,,,
/product/cold-storage-for-fruits-and-vegetables-book/preserving-books,/product/cold-storage-for-fruits-and-vegetables-book/preserving-books,yes,0.9876,1,,,
/product/the-book-of-totally-irresponsible-science/children-books,/product/the-book-of-totally-irresponsible-science/children-books,yes,0.9876,1,,,
/category/preserving-books/1,/category/preserving-books/1,yes,0.9876,1,,,
/product/wilcox-stainless-14-garden-trowel/digging-cultivating,/product/wilcox-stainless-14-garden-trowel/digging-cultivating,yes,0.9876,1,,,
/category/children-books/3,/category/children-books/3,yes,0.9876,1,,,
/lehmans-retail-store,/lehmans-retail-store,yes,0.9876,1,,,
/category/children-books/1,/category/children-books/1,yes,0.9876,1,,,
/category/digging-cultivating/1,/category/digging-cultivating/1,yes,0.9876,1,,,
/category/cleaners-polishes,/category/cleaners-polishes,yes,0.9876,1,,,
/product/larding-needle/butchering-supplies,/product/larding-needle/butchering-supplies,yes,0.9876,1,,,
/product/razorcut-premium-38-reel-lawn-mower/lawncare,/product/razorcut-premium-38-reel-lawn-mower/lawncare,yes,0.9876,1,,,
/product/replacement-burner-for-galvanized-feuerhand-lanterns/lamp-burners,/product/replacement-burner-for-galvanized-feuerhand-lanterns/lamp-burners,yes,0.9876,1,,,
/product/old-fashioned-pine-cleaner-32-oz/cleaners-polishes,/product/old-fashioned-pine-cleaner-32-oz/cleaners-polishes,yes,0.9876,1,,,
/product/jubilee-kitchen-wax/cleaners-polishes,/product/jubilee-kitchen-wax/cleaners-polishes,yes,0.9876,1,,,
/product/old-time-furniture-polish/cleaners-polishes,/product/old-time-furniture-polish/cleaners-polishes,yes,0.9876,1,,,
/product/rayo-filler-cap-for-oil-lamps/lamp-burners,/product/rayo-filler-cap-for-oil-lamps/lamp-burners,yes,0.9876,1,,,
/product/replacement-blade-for-french-butchering-saw/butchering-supplies,/product/replacement-blade-for-french-butchering-saw/butchering-supplies,yes,0.9876,1,,,
/product/aladdin-oil-lamp-gallery-top-for-burner/lamp-burners,/product/aladdin-oil-lamp-gallery-top-for-burner/lamp-burners,yes,0.9876,1,,,
/product/replacement-handle-for-european-style-grape-hoe/digging-cultivating,/product/replacement-handle-for-european-style-grape-hoe/digging-cultivating,yes,0.9876,1,,,
/product/replacement-tape-for-freezer-tape-dispenser/butchering-supplies,/product/replacement-tape-for-freezer-tape-dispenser/butchering-supplies,yes,0.9876,1,,,
/product/economical-16-reel-mower/lawncare,/product/economical-16-reel-mower/lawncare,yes,0.9876,1,,,
/product/organic-camping-soap/cleaners-polishes,/product/organic-camping-soap/cleaners-polishes,yes,0.9876,1,,,
/product/nurse-nancy-golden-book/children-books,/product/nurse-nancy-golden-book/children-books,yes,0.9876,1,,,
/category/cookbooks,/category/cookbooks,yes,0.9876,1,,,
/product/dietz-blizzard-hurricane-oil-lantern-black/fallevening,/product/dietz-blizzard-hurricane-oil-lantern-black/fallevening,yes,0.9876,1,,,
/category/fermenting-pickling,/category/fermenting-pickling,yes,0.9876,1,,,
/product/the-whole-grain-cookbook/cookbooks,/product/the-whole-grain-cookbook/cookbooks,yes,0.9876,1,,,
